sepal_length,sepal_width,petal_length,petal_width,color,season,is_wild,species
6.197371322408986,3.3704710190126566,6.078904242196204,1.8226888609333103,blue,fall,False,virginica
5.689388559063052,3.7637666561880523,5.271877260951707,0.7590514269371732,green,fall,False,versicolor
6.318150830480554,,3.8013716288642962,0.5454408932621542,blue,spring,True,versicolor
7.0184238851264205,3.2251876946762286,2.6002074779005246,1.1973004340712383,green,spring,True,versicolor
5.612677300221331,2.7397429723512694,4.886979633143103,1.0638523019800572,green,fall,False,versicolor
5.612690434440656,2.8051498464941216,4.368925155216974,0.8374175605381797,green,fall,True,versicolor
7.063370252405913,2.7630424303044525,5.221828474047145,1.7571099579653722,blue,winter,False,virginica
6.413947783322326,2.6544036921280734,4.779792062859348,1.9642441668564086,red,fall,False,versicolor
5.424420491252038,3.019408651177931,5.48423961604287,1.270725509033478,red,winter,True,versicolor
6.2340480348687715,2.667619953435585,2.7901001403470347,2.3820240648442095,blue,fall,False,versicolor
5.42926584575003,3.1081827303119356,5.939569911578354,0.2866487086931959,red,spring,False,versicolor
5.427416197143795,2.9799047562203453,4.03591932797708,1.0450724325762255,red,winter,True,versicolor
5.993569817252827,2.904420781253436,7.227943483462951,0.626542143517756,green,summer,True,virginica
4.2693758042737615,2.6369745351833607,2.5283807092477346,-0.2932292936584482,green,spring,True,setosa
4.420065733989573,2.7692914677726668,6.6511384653809245,1.1338554513258405,blue,winter,False,virginica
5.350169976607222,3.3021564903303027,4.036448331886501,1.102601993293373,blue,winter,True,versicolor
4.98973510373246,3.2003668750497525,2.5925893938554383,2.410759794593705,red,summer,True,versicolor
6.051397866076219,2.6089779020805794,2.877394082107654,1.704649347643822,green,winter,True,versicolor
5.073580739583031,3.0397329221716904,3.1554095760696557,0.38065054053663594,blue,fall,True,versicolor
4.670157038931767,3.300554849348716,4.421082108883258,2.6832740530673505,blue,summer,False,versicolor
6.972519015137243,,4.58882032966035,2.1768269564202822,blue,spring,False,versicolor
5.6193789596107715,3.217344076951974,2.724709993304416,1.6656781627748927,blue,spring,True,versicolor
5.8540225637503385,2.7349504964216615,3.6585971931563295,1.0188127209201343,blue,fall,False,versicolor
4.660201451029234,3.228239467437264,7.341859609640169,0.4324486106212161,blue,spring,True,virginica
5.364493820379853,,6.636823389171209,0.9022345791431575,red,winter,True,virginica
5.888738071767893,2.2780471597341925,4.441750238445855,2.0709988957633487,green,winter,False,versicolor
4.879205138062158,2.348983024846735,3.7646059128859406,2.7076690447476874,green,fall,False,versicolor
