sqft,bedrooms,bathrooms,year_built,neighborhood,has_garage,price
1748.3570765056163,2,1.5,,downtown,True,255444.45652314802
1430.8678494144076,2,1.0,1996.0,suburb,True,283204.8026204612
1823.8442690503462,3,2.5,2021.0,rural,True,399594.10989884124
2261.514928204013,3,3.0,1995.0,downtown,False,409608.63295830257
1382.923312638332,5,1.0,2017.0,downtown,True,360712.45589767967
1382.9315215254096,5,1.0,1982.0,downtown,False,293938.3327908428
2289.6064077536957,1,2.0,1950.0,industrial,False,365101.77004145004
1883.7173645764544,1,3.0,1968.0,rural,False,327367.25984960474
1265.262807032524,5,1.5,1980.0,rural,False,286260.15881076216
1771.2800217929823,5,2.5,1963.0,suburb,False,397016.25146374083
1268.291153593769,4,1.5,2002.0,rural,True,305548.33465563174
1267.1351232148716,3,3.0,1997.0,rural,True,229114.3092850853
1620.981135783017,1,1.0,2018.0,downtown,True,314277.37765379716
543.359877671101,3,1.0,2011.0,suburb,False,100129.22200959493
637.5410837434836,3,3.0,2015.0,rural,True,227107.54869177224
1218.8562353795137,5,1.0,2013.0,industrial,True,326129.58941175457
993.5844398327881,4,1.0,2019.0,rural,True,208808.6730684623
1657.1236662976369,2,1.0,2012.0,downtown,True,285244.12130600796
1045.9879622393946,4,2.5,2022.0,industrial,True,240227.05428133113
793.8481493323543,4,2.5,1982.0,downtown,False,209129.5914911911
2232.824384460777,3,2.0,1990.0,rural,True,398682.6291435443
1387.1118497567322,4,1.5,1997.0,industrial,False,320456.59343159
1533.764102343962,1,3.0,1962.0,suburb,False,303373.8777351825
787.6259068932716,3,3.0,,suburb,False,264014.4003576894
1227.8086377374086,1,3.0,1980.0,industrial,False,210306.25486326223
1555.461294854933,2,2.0,2017.0,industrial,False,293542.5380159041
924.5032112888485,3,2.5,1953.0,downtown,True,150172.33592669878
1687.849009172836,2,2.0,1968.0,industrial,True,271001.24938103976
1199.6806550405975,3,3.0,2019.0,downtown,True,311397.64724901336
1354.1531251033616,5,1.5,1962.0,rural,False,343090.4534719512
1199.1466938853016,4,1.0,1972.0,downtown,True,211841.53792639758
2426.139092254469,5,2.5,1950.0,industrial,True,446646.9360635835
1493.2513876310331,2,2.5,2003.0,industrial,False,290195.53543588717
971.1445355220499,4,2.0,2020.0,rural,False,262076.5150928957
1911.2724560515944,3,2.5,1964.0,industrial,False,329902.76281008974
889.5781750144889,4,3.0,2014.0,industrial,False,266158.55758609605
1604.4317975023778,1,3.0,2020.0,suburb,True,289449.5892132292
520.1649380601123,4,2.0,1964.0,suburb,False,157591.17258266849
835.9069755507848,1,3.0,1970.0,rural,False,179774.57377272868
1598.4306179345617,4,1.5,1968.0,downtown,True,314457.2607845124
1869.2332899977052,1,2.0,2009.0,suburb,True,309793.41678385873
1585.6841405949854,2,1.5,,downtown,False,276064.3269714729
1442.1758588058797,5,1.0,1998.0,industrial,True,315675.49004472187
1349.4481522053557,3,1.5,,suburb,False,253816.89193433954
760.7390048162863,4,1.0,1993.0,rural,False,185846.9688424299
1140.0778958026458,5,1.0,1960.0,rural,True,301971.0994855384
1269.6806145201062,3,1.5,2021.0,rural,True,288279.6756162531
2028.561113109458,3,2.0,2023.0,suburb,False,384919.75742554385
1671.8091447842307,1,3.0,2015.0,downtown,False,332180.0038529567
618.479922318633,2,3.0,1995.0,industrial,False,153257.40365511467
1662.0419846973975,2,1.0,1958.0,downtown,True,306500.03683220886
1307.4588597918419,5,1.0,1952.0,downtown,False,286208.0947347191
1161.5389998470207,2,2.0,1975.0,industrial,False,216511.78565692625
1805.838144420434,4,2.5,2021.0,industrial,False,400307.2294373734
2015.4997612479756,2,1.5,1997.0,suburb,False,304198.6796251414
1965.6400595580992,5,1.0,2015.0,suburb,False,371542.98486642074
1080.3912383886807,2,3.0,2019.0,suburb,True,208740.93556633044
1345.3938120743928,4,2.0,1977.0,suburb,False,292597.3646540701
1665.631715701782,1,1.5,1975.0,suburb,False,319820.20733982004
1987.7725635611796,5,2.0,1974.0,industrial,False,470104.88891995593
1260.412881077355,1,1.5,1961.0,downtown,False,219203.46520482594
1407.1705116680914,1,1.5,1954.0,suburb,True,233600.91099854742
946.8325129969859,1,1.0,1997.0,suburb,True,109493.14492496572
901.8966879596646,3,2.0,1986.0,downtown,True,190004.28920192906
1906.2629111970991,3,2.0,1993.0,suburb,False,336805.9241223177
2178.1200142854113,1,3.0,1964.0,downtown,False,343092.5741952782
1463.994939209833,5,3.0,1992.0,downtown,True,343554.92632393126
2001.7664489460121,4,1.0,1997.0,industrial,True,367602.250010988
1680.818012523817,4,1.0,2019.0,rural,True,285243.70756729896
1177.4401226974378,2,2.5,1995.0,industrial,False,262053.32608814168
1680.697802754207,5,3.0,1992.0,rural,False,348922.37964093685
2269.0182832329847,3,1.5,1970.0,rural,True,403030.1484082822
1482.0869804450242,1,2.0,1972.0,rural,True,308535.5271592528
2282.3218279070034,2,1.0,1996.0,suburb,True,355766.7364384578
300.0,4,2.0,1964.0,industrial,False,50000.0
1910.951252187612,3,2.0,1974.0,rural,False,343062.5611717385
1543.5235341190855,3,2.5,1985.0,downtown,False,342557.31916782
1350.4963247670662,1,3.0,2000.0,suburb,True,314324.8723416777
1545.8803882677512,4,1.0,1964.0,industrial,True,259995.57040659018
506.21554269955357,5,2.0,2017.0,rural,False,217333.30810202868
1390.164056081244,3,1.0,1970.0,downtown,True,242565.29470878502
1678.5562857558732,1,1.5,1962.0,industrial,False,260104.99223425693
2238.947022370758,5,2.5,1968.0,industrial,True,524672.3537661248
1240.8648908631762,4,1.5,1983.0,suburb,True,223040.6237776218
1095.7531985534063,3,1.0,2017.0,industrial,True,243475.16962784814
1249.1214782077318,5,1.0,2001.0,suburb,True,304899.0168841228
1957.701058851037,5,3.0,1976.0,rural,False,447228.74857583595
1664.3755548298423,5,2.0,1978.0,suburb,True,359595.82782860316
1235.1198981164807,3,2.0,,downtown,False,261009.50090259517
1756.633716556678,3,1.5,1984.0,suburb,False,314245.600460848
1548.5387746740203,2,2.5,1957.0,downtown,False,284354.62443845626
1984.3224952664445,4,2.0,1965.0,suburb,True,367852.60602504434
1148.9734530613239,1,3.0,1985.0,industrial,False,236493.17465488013
1336.1689267011159,5,1.5,1979.0,rural,False,289337.02892385836
1303.9459234339213,2,1.5,1967.0,downtown,False,240904.90033215377
768.2425259339407,1,3.0,1951.0,suburb,True,142858.49447954173
1648.060138532288,2,2.5,1998.0,suburb,True,345490.52830300824
1630.5276360899447,3,3.0,1953.0,suburb,False,312537.33370583714
1502.5567283212304,5,2.5,1956.0,industrial,True,275692.5352019781
1382.7064333124265,1,3.0,2023.0,industrial,False,309763.6100182837
792.3146289747929,1,3.0,1988.0,downtown,False,138675.22532034037
1289.6773386173204,1,1.0,1962.0,downtown,True,177838.61063313347
1328.6427417366153,1,1.5,1980.0,industrial,False,201926.57243918756
1098.8613653891905,1,3.0,2020.0,downtown,True,269062.3476035031
1419.3571441669953,2,3.0,2012.0,rural,True,227833.34520568847
1702.0254284072691,5,2.0,2005.0,rural,False,469936.2702708902
2443.0929506052653,3,1.5,1991.0,industrial,True,464145.64686277136
1587.2889064159194,3,2.0,2010.0,downtown,True,327790.5033862627
1628.7751953613822,3,1.5,1991.0,suburb,False,308669.45928571874
1462.7770421169164,3,2.0,2005.0,rural,False,308483.17856326717
540.6143923504793,2,3.0,1985.0,industrial,True,162225.83170395205
1486.7430622753916,4,3.0,2017.0,downtown,True,363867.9269198105
1530.1151049705131,5,1.0,1956.0,industrial,False,327185.3997256804
2731.621056242643,1,2.0,2003.0,suburb,True,451930.5788740539
1403.8195176094387,4,2.5,1950.0,rural,True,285152.775032196
1650.7736711668063,3,1.0,1993.0,industrial,True,302577.85216541553
1482.6441151473784,4,2.0,1994.0,industrial,True,311549.3688615263
915.660981190234,5,2.0,1996.0,industrial,True,287362.25008454703
2071.4114072575103,1,1.0,1962.0,suburb,True,332518.4127570524
1875.966516343387,1,3.0,1971.0,industrial,True,231683.31841157965
1895.5159735215234,5,2.0,1970.0,suburb,False,407004.4193241213
1045.3062726026305,5,3.0,1958.0,suburb,False,274638.02673195786
2201.3971554680497,3,1.0,1975.0,suburb,False,380148.31062683056
799.0744686038596,1,3.0,1958.0,rural,False,140205.61669791237
1793.4285469001352,4,1.5,1964.0,rural,False,375237.6636346007
2595.227812904989,2,2.5,1959.0,industrial,True,462709.9657994341
1004.7318374346557,2,2.0,1991.0,industrial,True,181023.44558049008
1216.851135198614,5,2.5,2021.0,rural,True,330739.2388935282
1549.8256825438207,3,3.0,1973.0,downtown,True,282824.1503453345
1248.2621729419004,2,2.0,1998.0,rural,False,202850.78099761714
724.6682844669336,1,3.0,1975.0,suburb,True,130398.7259323411
1534.2814874030137,5,1.5,1986.0,rural,True,359514.0272819348
968.8481431369476,4,1.0,2017.0,suburb,False,265420.97283182474
1736.7962153175908,5,2.0,1999.0,industrial,True,393411.9949005574
1040.2878828830985,4,1.5,1973.0,downtown,True,254796.0560379047
2274.96720250877,5,1.5,1968.0,industrial,False,451230.4289897642
1108.3733538318816,5,2.0,2009.0,suburb,True,269511.5552180936
1338.9692418971622,5,3.0,1988.0,suburb,True,340803.06262479257
1906.7586086848348,4,1.5,2023.0,suburb,True,412026.0770595557
884.5678417830223,4,2.5,1967.0,downtown,True,244313.91616186057
1613.7299673020648,5,1.5,1968.0,rural,True,372226.896239549
2153.571377141214,2,3.0,,industrial,False,409784.821987214
696.2583827193862,3,3.0,2023.0,industrial,False,219482.20363415542
1592.316929266152,3,2.5,2004.0,rural,False,358452.0465394156
1629.9413971242118,3,1.5,2018.0,industrial,False,323195.57179116
1890.9114358886552,4,3.0,1996.0,downtown,False,368180.4758464667
881.524644560959,4,2.0,1998.0,industrial,False,224336.68776583095
839.7716934578618,2,1.0,1982.0,suburb,True,137618.67467448578
1760.9707828084488,3,1.0,1970.0,rural,False,291890.26917203586
1648.492336616593,3,1.0,1971.0,downtown,False,291438.2903710234
1625.2464251729382,5,1.5,1997.0,rural,True,329014.3661459419
1673.224104748488,4,2.5,1986.0,downtown,True,340244.76982310193
1159.9876392107547,3,3.0,1964.0,suburb,False,192189.70587299962
1616.1268485805017,2,2.0,1984.0,rural,True,298817.83850826346
1646.5362366493407,2,2.0,,industrial,False,315016.5997582678
1142.824290986816,3,1.5,1981.0,downtown,True,207910.9847159767
2432.8872555723783,4,1.0,1960.0,rural,False,447710.4583888289
1736.9164604558937,2,1.5,1959.0,industrial,True,318664.57319718075
904.3482513986756,5,2.5,2022.0,rural,True,223925.4417787321
1828.2768043169149,2,2.5,2006.0,rural,False,319859.7772905508
1012.6591648863393,1,3.0,1974.0,rural,False,168824.60423933197
1893.542301871226,1,3.0,1951.0,downtown,False,284334.2522474179
2079.297789503702,4,2.5,2013.0,industrial,False,448778.9136835077
1089.6588408241448,3,2.5,1984.0,suburb,False,235134.0419604376
1981.688064622161,4,2.5,1956.0,downtown,True,372817.7644540058
1706.3904634682492,4,1.5,1967.0,downtown,False,269842.6985880348
1911.0300799972451,4,2.5,2016.0,downtown,False,419217.05290586356
2448.396491326974,4,2.0,1991.0,suburb,True,423581.7218534419
1377.3059419985648,5,1.0,1988.0,industrial,True,305393.87020777457
1123.1319178212552,5,2.5,1990.0,industrial,False,297291.095811934
1055.2427851872383,2,1.0,,industrial,True,228606.17565324527
1092.0948575172808,1,1.5,2009.0,rural,True,159549.61665401876
1461.4491452929478,4,1.0,1995.0,rural,False,209132.00711931742
1670.575987408322,2,1.5,1968.0,rural,True,290601.8844538591
1638.3453996650096,1,2.0,2017.0,suburb,True,346267.14539507707
1913.591624518012,3,1.5,1991.0,rural,False,390207.13426588493
1506.5009459389535,5,1.5,1981.0,suburb,False,333264.9243490818
2226.7670385786587,1,3.0,1988.0,industrial,True,366265.9702178374
1367.671583381022,3,2.5,1985.0,rural,True,307364.41540627263
2860.0845832948094,1,2.5,1985.0,rural,False,437806.30150308734
1812.833673882503,5,2.0,1952.0,downtown,True,380215.78416306205
1071.4212217918587,5,2.0,2022.0,suburb,True,304877.28804377763
964.5537509694439,2,2.5,1957.0,industrial,True,220489.359870383
1741.2362076215927,4,3.0,2019.0,downtown,False,466475.23231057124
1388.2686073370746,1,2.5,1990.0,downtown,True,260512.77011592416
1857.000247046046,1,3.0,2017.0,industrial,True,324781.12828568195
1736.6188122867725,3,2.0,1962.0,downtown,False,318725.592477256
1463.5855436715635,5,1.0,1998.0,suburb,True,268465.554404061
1076.6031409657976,1,2.0,2009.0,suburb,True,183149.07721219788
742.5763876570677,5,2.0,1951.0,rural,False,192607.98500516702
1276.7425239664894,1,1.5,2009.0,downtown,False,210788.72665693564
1928.1993971617362,2,1.5,1954.0,rural,False,321300.55573527206
1607.046872065102,4,1.5,1993.0,downtown,False,303384.4328382993
877.130610644006,1,1.5,,suburb,True,183700.51161633502
1586.590462925591,5,3.0,1981.0,suburb,True,361494.78138638457
1692.6586898644184,2,2.5,1970.0,suburb,False,304119.7938455043
1058.0712818994334,1,1.0,1957.0,downtown,False,150373.85078952747
1576.862552972764,3,2.0,2021.0,suburb,True,329685.103461684
1529.1043592229998,4,3.0,1999.0,downtown,False,366618.601823479
928.5148510846884,1,1.0,2016.0,rural,True,144263.32119137625
1678.8936801741415,2,3.0,1993.0,downtown,False,301590.55735386355
1780.3922631841172,3,3.0,2007.0,rural,True,354447.0586143176
2041.5256215876384,2,2.0,1952.0,downtown,False,299852.7155339493
2026.9010260174514,2,2.5,2019.0,rural,False,354457.41811097274
811.1653160214545,3,1.5,1951.0,suburb,True,153388.1711968784
